#Frame      Dih_00096,#Frame      Dih_00097,#Frame      Dih_00098,#Frame      Dih_00099,#Frame      Dih_00100
     288       4.2826,     288     -22.2749,     288      30.4757,     288     -28.0932,     288      16.1832
     289      -7.3942,     289     -19.0950,     289      37.2179,     289     -41.7854,     289      31.3120
     290       2.4786,     290     -23.0629,     290      31.5898,     290     -33.0994,     290      19.6889
     291      -4.6609,     291     -17.1736,     291      30.9927,     291     -33.3043,     291      24.1201
     292       4.6664,     292     -22.9189,     292      31.9854,     292     -30.1236,     292      16.1695
     293      -7.3790,     293     -17.6727,     293      33.6286,     293     -40.5224,     293      31.3929
     294      -0.2295,     294     -20.9794,     294      34.1490,     294     -34.5710,     294      21.2923
     295       6.4542,     295     -31.9791,     295      38.8082,     295     -39.9440,     295      20.9912
     296       6.1789,     296     -29.9426,     296      39.7483,     296     -38.2513,     296      20.8800
     297      -2.6974,     297     -25.8536,     297      39.7803,     297     -46.5035,     297      30.6089
     298      -3.5910,     298     -19.3018,     298      30.7010,     298     -33.4262,     298      24.5332
     299      18.4297,     299     -31.9721,     299      31.2646,     299     -21.5087,     299       2.1187
     300     -13.6985,     300     -10.3442,     300      28.5665,     300     -37.0738,     300      32.3814
     301      -0.4879,     301     -22.2499,     301      32.8971,     301     -36.1811,     301      24.0667
     302      -6.4827,     302     -14.1016,     302      26.9850,     302     -31.9821,     302      25.1159
     303       2.3188,     303     -23.1158,     303      31.4892,     303     -30.9844,     303      19.0961
     304       2.8680,     304     -24.7451,     304      38.5542,     304     -35.9592,     304      21.5955
     305       6.0555,     305     -23.7086,     305      29.6219,     305     -29.5328,     305      15.4611
     306       5.0589,     306     -30.4397,     306      39.8500,     306     -39.9051,     306      24.0667
     307       3.4710,     307     -23.2342,     307      31.8051,     307     -31.8358,     307      18.6480
     308      10.8264,     308     -31.4180,     308      38.6611,     308     -33.5330,     308      14.4822
     309       3.8530,     309     -26.1308,     309      35.7330,     309     -33.1045,     309      19.1383
     310      -4.0205,     310     -16.7776,     310      29.2115,     310     -33.4177,     310      24.8979
     311     -18.6053,     311      -6.0832,     311      25.3920,     311     -34.8759,     311      36.6160
     312       0.7233,     312     -23.8148,     312      32.4301,     312     -35.3157,     312      22.9189
     313       3.8961,     313     -25.1812,     313      33.0804,     313     -34.3060,     313      20.0097
     314      10.7634,     314     -28.8566,     314      30.6504,     314     -29.8673,     314      12.1992
     315       4.1127,     315     -28.5803,     315      40.2327,     315     -39.0311,     315      22.6451
     316       7.2438,     316     -26.2991,     316      31.7014,     316     -29.7793,     316      15.3367
     317      -2.4681,     317     -21.9226,     317      35.6828,     317     -38.2647,     317      25.3734
     318       0.7164,     318     -23.4604,     318      34.4582,     318     -35.5096,     318      22.5179
     319       3.0953,     319     -12.7492,     319      16.9080,     319     -15.8512,     319       8.4854
     320      12.0153,     320     -25.9890,     320      29.9488,     320     -24.2831,     320       8.0732
     321      12.2239,     321     -24.6128,     321      25.4284,     321     -19.1355,     321       5.0720
     322      14.0929,     322     -32.2673,     322      36.0181,     322     -27.9549,     322       9.4921
