#Frame      Dih_00136,#Frame      Dih_00137,#Frame      Dih_00138,#Frame      Dih_00139,#Frame      Dih_00140
     251      -9.9990,     251      15.1805,     251     -16.0451,     251      10.1188,     251      -0.3979
     252     -10.9339,     252      19.8648,     252     -19.3658,     252      15.9129,     252      -3.3591
     253     -14.8037,     253      20.6637,     253     -17.0882,     253       8.6893,     253       3.8211
     254     -14.0284,     254       6.3954,     254       2.5296,     254     -11.1238,     254      15.8895
     255     -18.5031,     255       6.2622,     255       6.6894,     255     -17.7782,     255      22.4055
     256      -7.1314,     256     -12.5419,     256      25.3616,     256     -30.9548,     256      25.0836
     257      -8.8933,     257      -9.1927,     257      23.2485,     257     -30.2051,     257      23.2898
     258     -12.3160,     258      -8.2291,     258      24.0965,     258     -33.5666,     258      29.4626
     259       1.6718,     259     -22.5449,     259      33.4140,     259     -32.4079,     259      19.6802
     260      -9.6874,     260     -11.3135,     260      25.1882,     260     -31.6494,     260      26.6054
     261       0.7579,     261     -14.0166,     261      21.4149,     261     -22.9121,     261      14.3282
     262      -7.8283,     262     -19.0657,     262      35.2629,     262     -45.5099,     262      32.3620
     263      -9.6918,     263     -15.0490,     263      34.3948,     263     -41.3496,     263      31.6893
     264       1.7627,     264     -21.5816,     264      30.2458,     264     -30.7511,     264      19.2939
     265      -3.5766,     265     -19.4336,     265      32.4674,     265     -35.5245,     265      25.5721
     266      -7.8573,     266     -22.6690,     266      40.2156,     266     -46.2385,     266      35.7902
     267     -23.4879,     267      -1.1608,     267      22.6569,     267     -38.8820,     267      39.9391
     268     -14.2690,     268     -13.3517,     268      32.6993,     268     -43.4896,     268      37.6129
     269     -18.4260,     269       0.1112,     269      17.0057,     269     -29.3917,     269      29.7241
     270     -10.1391,     270     -11.2483,     270      25.5561,     270     -33.6700,     270      27.8341
     271      -9.4947,     271      -7.4534,     271      19.2861,     271     -27.0599,     271      23.3166
     272     -17.7553,     272      -4.1775,     272      21.7947,     272     -33.9095,     272      35.4241
     273      -9.6832,     273     -13.1920,     273      29.4183,     273     -36.6308,     273      28.8203
     274     -10.5422,     274      -8.6390,     274      22.8167,     274     -28.5384,     274      25.7815
     275     -15.1332,     275      -7.9749,     275      24.9244,     275     -34.3552,     275      32.1067
     276      -3.5010,     276     -14.9342,     276      26.1597,     276     -28.3583,     276      20.6183
     277      -5.7754,     277     -14.8177,     277      26.9405,     277     -30.3668,     277      24.3576
     278      -2.8566,     278     -16.5626,     278      26.1776,     278     -30.2894,     278      22.4770
     279      -5.2469,     279     -14.3550,     279      26.1401,     279     -31.3239,     279      24.0009
     280      -7.1976,     280     -16.0675,     280      30.0623,     280     -36.2682,     280      27.6929
     281       8.1444,     281     -24.1554,     281      27.9078,     281     -25.0348,     281      11.4973
     282      13.7284,     282     -22.9909,     282      21.5073,     282     -15.1015,     282       1.1873
     283      -4.0138,     283     -13.3854,     283      24.2803,     283     -27.0001,     283      19.9726
     284       2.2561,     284     -22.9260,     284      33.3689,     284     -32.8353,     284      19.0759
     285       4.4353,     285     -25.9121,     285      34.9050,     285     -32.8743,     285      19.4438
     286       3.6499,     286     -22.4003,     286      30.5806,     286     -29.6702,     286      16.7260
     287      16.1040,     287     -25.8784,     287      26.1668,     287     -18.9341,     287       2.3920
     288     -12.3067,     288     -10.4795,     288      26.2307,     288     -35.0090,     288      30.9322
     289       9.1962,     289     -27.3122,     289      34.7267,     289     -30.4083,     289      14.1811
     290      -6.0877,     290     -20.8855,     290      36.4139,     290     -42.7016,     290      31.3538
     291      -2.4428,     291     -16.6210,     291      26.9850,     291     -31.0738,     291      21.6558
     292      -1.6306,     292     -20.9420,     292      32.5379,     292     -34.5675,     292      24.0149
     293     -15.2861,     293      -8.2963,     293      25.2352,     293     -35.2182,     293      34.6245
     294      -0.6896,     294     -23.1993,     294      35.8924,     294     -39.1023,     294      26.4535
     295     -12.2756,     295     -10.9143,     295      26.8364,     295     -33.7121,     295      31.5315
     296     -11.8118,     296      -7.0325,     296      20.9667,     296     -28.3940,     296      26.0189
     297      -2.7624,     297     -17.0657,     297      27.8746,     297     -29.8815,     297      20.9930
     298      -0.2984,     298     -17.6720,     298      26.4376,     298     -28.6590,     298      18.6741
     299       1.4431,     299     -20.2084,     299      28.9664,     299     -30.7952,     299      19.0574
     300       4.9225,     300     -25.2908,     300      34.2434,     300     -32.3348,     300      17.0850
     301      -5.1542,     301     -13.6876,     301      25.6222,     301     -31.8698,     301      23.3801
     302       0.9142,     302     -15.7815,     302      23.9114,     302     -25.2405,     302      15.1272
     303     -20.3264,     303      11.2461,     303       0.8206,     303     -12.6722,     303      21.6985
