#Frame      Dih_00061,#Frame      Dih_00062,#Frame      Dih_00063,#Frame      Dih_00064,#Frame      Dih_00065
     303     -29.4037,     303      44.2172,     303     -39.0706,     303      23.3916,     303       3.6580
     304     -23.2878,     304      37.7894,     304     -38.6753,     304      26.7433,     304      -1.2398
     305     -35.7182,     305      45.2446,     305     -34.7505,     305      13.7428,     305      14.2291
     306     -25.4758,     306      35.4184,     306     -30.8704,     306      15.8501,     306       6.4845
     307     -19.4371,     307      36.2362,     307     -36.4247,     307      26.3938,     307      -4.5074
     308      -5.9947,     308      28.1805,     308     -38.5008,     308      35.8383,     308     -19.3675
     309     -19.3993,     309      40.0238,     309     -41.9101,     309      35.2551,     309      -9.3823
     310     -31.7539,     310      28.9469,     310     -14.8660,     310      -3.5802,     310      23.3273
     311     -13.5064,     311      33.0742,     311     -36.3565,     311      30.8375,     311     -10.1653
     312     -36.7979,     312      39.2438,     312     -27.0080,     312       6.1657,     312      19.3219
     313     -47.0482,     313      34.6584,     313     -12.6517,     313     -14.5961,     313      39.4859
     314     -37.4450,     314      34.4782,     314     -19.8016,     314      -1.1556,     314      23.7183
     315     -31.7596,     315      32.6162,     315     -20.6982,     315       3.0617,     315      17.1570
     316     -28.2966,     316      37.2635,     316     -31.3231,     316      16.3026,     316       7.6313
     317     -23.1378,     317      44.9699,     317     -45.2387,     317      34.1668,     317      -7.2128
     318     -24.7574,     318      22.6071,     318     -13.4693,     318      -1.5667,     318      17.6015
     319     -33.2880,     319      16.8115,     319       4.6713,     319     -24.4173,     319      36.3133
     320     -31.8210,     320      18.6772,     320       1.5529,     320     -21.6517,     320      34.7298
     321     -33.6898,     321      18.3207,     321       2.5082,     321     -22.3183,     321      35.3246
